Names:,Description:,Location,Area,Investments:,Followers:
Michael Moe,"Investor in @facebook, @twitter, Gilt Groupe, @zocdoc, @grockit, @chegg and Kno",Minneapolis,Education,2,2290
Andrew Razeghi,"Founder, StrategyLab, Inc.; Lecturer, Kellogg School of Management; Limited Partner, TechStars Chicago",Chicago,iPad,10,1198
David Teten,"Founder, Versatile Venture Capital; formerly Managing Partner, HOF Capital ; Partner, ff Venture Capital ; Founder, Harvard Business School Alumni Angels of NY;",New York City,Fin Tech,41,4096
Eric Silver,"@webkite Founder - First developer, team builder; Founder @alt-capital, Former CMO @modcloth , Former Consultant @mckinsey-company",Pittsburgh,Communications Infrastructure,11,1410
Michael Meyer,"Founding Partner at Edge Harris Ventures, Transmitive • Worked at App Uprising • Early investor @dataminr, @artivest",Brooklyn,Startups,6,135
Pooj Preena,"i'm founder+ceo @a17. previously, first US employee @skype, founder @betaworks, xCOO @omgpop!, first BD guy @dropbox , US CEO ad&payments company @hi-media.",San Francisco,Messaging,6,1632
Craig Lauer,"Employee #88 at @qualcomm, VP Eng for OmniTRACS, launched Vuforia AR, original developer on Eudora email team. Most recent exit: Tocagen IPO and Cozy.",San Diego,Batteries,10,1753
Matthew T. Nekvapil,Superpreneur. Multi-Lingual. Personal investor in numerous startups. Strong Asian network.,Federal Territory of Kuala Lumpur,Mobile Advertising,6,1193
Tom Pappas,"Seasoned & successful securities investor, talent mentor, education advocate, active angel, budding social entrepreneur. Harvard ALI Fellow.",Boston,Finance Technology,10,1866
Ernest Semerda,"@veryfi cofounder, previous: cofounder @medlert-3 , @coupons-com , @couponstar , @amp-pty",Mountain View,Retail Technology,0,521
Ryan Craver,Retail junkie running digital for brands like @legowear @newbalance @mooseknuckles @alexisbittar @terramarsports and @joefresh-com,Toronto,Robotics,10,1650
David Lichtblau,CEO @etf.com (sold to @bats Global Markets); VP Product/Mktg @starmine (sold to @reuters); Co-founder @stanford-technology-group (sold to IBM). BSEE Stanford.,San Francisco,Synthetic Biology,5,651
Jon Bradshaw,Founder Appointment.com / Codebase.com,Salt Lake City,Location Based Services,11,1315
Jaffray Woodriff,"Co-Founder and CEO of Quantitative Investment Management, $3B hedge fund manager. I program all the statistical prediction models that drive all investments.",Charlottesville,Databases,19,663
Gitika Srivastava,Partner at KAHM Capital,Cambridge,Medical Devices,16,1075
Steve Jones,Undergrad UCLA. Graduate School of Business Stanford University. Have been a serial entrepreneur since age 17. Have started and or invested in 13+ companies.,Palo Alto,Mobile,3,637
Yichen Wang,"VC @Rho-ventures and investor of @justfab.com, product manager @ign. Founder @treasurebox, and consultant @mckinsey.",Silicon Valley,SaaS,5,1188
