Name,Profile URL,Role,Sweet Spot,Investors
Chris Farmer,file:///investors/chris-farmer,Partner,$1.5M,Investors in San Francisco (CA)
Andy McLoughlin,file:///investors/andy-mcloughlin,Partner,$1M,"Investors in Austin (TX), Investors in San Francisco (CA), Investors in New York (NY), Investors in Boston (MA), Investors in Los Angeles (CA), Investors in Toronto (Ontario), Investors in Seattle (WA), Investors in Utah
+5"
Murat Bicer,file:///investors/murat-bicer,General Partner,$1.5M,Investors in Boston (MA)
Max Gazor,file:///investors/max-gazor,General Partner,$1.5M,Investors in SF Bay Area (CA)
Aaron Batalion,file:///investors/aaron-batalion,Angel,$50K,Investors in San Francisco (CA)
Rafael Corrales,file:///investors/rafael-corrales,Partner,$100K,Investors in San Francisco (CA)
Paige Craig,file:///investors/paige-craig,Managing Partner,$200K,"Investors in Lexington-Fayette (KY), Investors in Arkansas, Investors in Mississippi, Investors in Florida, Investors in South Carolina, Investors in North Carolina, Investors in District of Columbia, Investors in Virginia, Investors in West Virginia, Investors in Kentucky, Investors in Tennessee, Investors in Alabama, Investors in Louisiana, Investors in Texas, Investors in Dallas (TX), Investors in Austin (TX), Investors in Montgomery (AL), Investors in Birmingham (AL), Investors in Jacksonville (FL), Investors in Miami (FL), Investors in Tampa (FL), Investors in Louisville/Jefferson County (KY), Investors in Indianapolis (IN), Investors in St. Louis (MO), Investors in Memphis (TN), Investors in Charlotte (NC), Investors in Raleigh-Durham / Southeast US, Investors in Washington (DC), Investors in New Orleans (LA), Investors in Nashville (TN), Investors in Atlanta (GA), Investors in Georgia, Investors in United States
+30"
Ann Miura Ko,file:///investors/ann-miura-ko,Partner,$1.5M,"Investors in San Francisco (CA), Investors in San Jose (CA), Investors in New York (NY), Investors in Boston / New England, Investors in Seattle (WA), Investors in Provo (UT), Investors in Salt Lake City (UT), Investors in Austin (TX), Investors in Palo Alto (CA)
+6"
Kevin Colleran,file:///investors/kevin-colleran,Managing Partner,$400K,Investors in B2B
Jenny Lefcourt,file:///investors/jenny-lefcourt,General Partner,$1.5M,"Investors in New York (NY), Investors in San Diego (CA), Investors in Los Angeles (CA), Investors in San Francisco (CA)
+1"
Aydin Senkut,file:///investors/aydin-senkut,Managing Partner,$1.5M,Investors in SF Bay Area (CA)
Xuezhao Lan,file:///investors/xuezhao-lan,Managing Partner,$2.0M,"Investors in Midwest, Investors in Seattle (WA), Investors in Denver (CO), Investors in Chicago (IL), Investors in Utah, Investors in Los Angeles (CA), Investors in New York (NY), Investors in SF Bay Area (CA)
+4"
Ron Conway,file:///investors/ron-conway,Managing Partner,$200K,"Investors in E-commerce, Investors in Enterprise, Investors in Games, Investors in Marketplaces, Investors in Retail, Investors in SaaS
+2"
Mike Brown Jr,file:///investors/mike-brown-jr,Managing Partner,$1.8M,Investors in New York (NY)
Beth Turner,file:///investors/beth-turner,General Partner,$50K,Investors in San Francisco (CA)
Yodfat Harel Buchris,file:///investors/yodfat-harel-buchris,Managing Director,$500K,Investors in Tel Aviv (Israel)
Mark Suster,file:///investors/mark-suster,Managing Partner,$1.5M,Investors in Santa Monica (CA)
David Mort,file:///investors/david-mort,General Partner,$3.0M,"Investors in Mexico, Investors in Brazil, Investors in United States"
Evan Tana,file:///investors/evan-tana,General Partner,$500K,"Investors in SF Bay Area (CA), Investors in Denver (CO), Investors in Los Angeles (CA), Investors in Seattle (WA), Investors in Boston (MA), Investors in New York (NY), Investors in California
+4"
Henri Deshays,file:///investors/henri-deshays,General Partner,$500K,Investors in Palo Alto (CA)
Leo Polovets,file:///investors/leo-polovets,General Partner,$750K,"Investors in San Francisco (CA), Investors in Los Angeles (CA), Investors in New York (NY)"
Michael Ma,file:///investors/michael-ma,General Partner,$250K,Investors in San Francisco (CA)
Dmitry Alimov,file:///investors/dmitry-alimov,Managing Partner,$1M,Investors in United States
Josh Breinlinger,file:///investors/josh-breinlinger,Managing Partner,$3.0M,"Investors in San Francisco (CA), Investors in Seattle (WA), Investors in Atlanta (GA), Investors in Montreal, Investors in New York (NY), Investors in San Diego (CA)
+2"
Chris Moore,file:///investors/chris-moore,Partner,$4.0M,Investors in Menlo Park (CA)
Jonathan Abrams,file:///investors/jonathan-abrams,General Partner,$500K,Investors in San Francisco (CA)
Paul Arnold,file:///investors/paul-arnold,Managing Partner,$750K,Investors in San Francisco (CA)
Zach Coelius,file:///investors/zach-coelius,Managing Partner,$500K,Investors in SF Bay Area (CA)
Carlos Diaz,file:///investors/carlos-diaz,General Partner,$75K,Investors in San Francisco (CA)
Luis Gutierrez Roy,file:///investors/luis-gutierrez-roy,General Partner,$250K,"Investors in California, Investors in Europe, Investors in Canada, Investors in Boston (MA)"
David Mes,file:///investors/david-mes,Managing Partner,$50K,"Investors in London, Investors in Paris (France), Investors in Israel, Investors in United States"
Zal Bilimoria,file:///investors/zal-bilimoria,Managing Partner,$1M,"Investors in San Francisco (CA), Investors in New York (NY), Investors in Los Angeles (CA), Investors in Boston (MA)
+1"
sundeep ahuja,file:///investors/sundeep-ahuja,General Partner,$100K,Investors in San Francisco (CA)
Lance Cottrell,file:///investors/lance-cottrell,President,$25K,"Investors in Blockchain, Investors in Clean tech / environment, Investors in Energy tech, Investors in Enterprise, Investors in Hardware, Investors in IoT, Investors in Marketplaces, Investors in Medical devices, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Security
+8"
Harsh Patel,file:///investors/harsh-patel,Managing Partner,$700K,Investors in San Francisco (CA)
Jai Choi,file:///investors/jai-choi,Managing Partner,$500K,"Investors in New York (NY), Investors in Tel Aviv (Israel), Investors in San Francisco (CA), Investors in Los Angeles (CA), Investors in China, Investors in London, Investors in Bangalore, Investors in Berlin, Investors in Paris (France), Investors in Singapore, Investors in Indonesia
+8"
Eric Kwan,file:///investors/eric-kwan,Managing Partner,$100K,"Investors in India, Investors in Tokyo, Investors in Hong Kong, Investors in SF Bay Area (CA)"
Julian Sevillano,file:///investors/julian-sevillano_1,General Partner,$500K,"Investors in Miami (FL), Investors in San Francisco (CA), Investors in Dubai, Investors in Santiago, Investors in Buenos Aires
+1"
Bernhard Janke,file:///investors/bernhard-janke,General Partner,$2.0M,Investors in Germany
Clancey Stahr,file:///investors/clancey-stahr,Managing Partner,$1M,"Investors in Advertising, Investors in Gaming/eSports, Investors in Marketplaces, Investors in Media/content, Investors in SaaS, Investors in Sales and CRM, Investors in San Francisco Bay Area (Other Lists)
+4"
Bennett Carroccio,file:///investors/bennett-carroccio,Partner,$2.5M,"Investors in Los Angeles (CA), Investors in New York (NY), Investors in Berkeley (CA), Investors in Palo Alto (CA), Investors in Menlo Park (CA), Investors in San Francisco (CA)
+3"
Abhijit Solanki,file:///investors/abhijit-solanki,Managing Director,$500K,Investors in United States
Jonathan Heiliger,file:///investors/jonathan-heiliger,General Partner,$1M,Investors in Palo Alto (CA)
Pierre Gaubil,file:///investors/pierre-gaubil,General Partner,$100K,"Investors in AI, Investors in Blockchain, Investors in Clean tech / environment, Investors in Developer tools, Investors in Education, Investors in Enterprise, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists)
+5"
Daniel Piehler,file:///investors/daniel-piehler,President,$1.5M,"Investors in New York (NY), Investors in Sao Paulo, Investors in San Francisco (CA)"
Maarten Hooft,file:///investors/maarten-hooft,Managing Partner,$500K,"Investors in San Francisco (CA), Investors in Palo Alto (CA), Investors in Los Angeles (CA), Investors in New York (NY), Investors in Washington (DC), Investors in Seattle (WA)
+3"
David Lee,file:///investors/david-lee,Managing Partner,$500K,Investors in Cupertino (CA)
Ben Ling,file:///investors/ben-ling,General Partner,$750K,"Investors in Consumer products, Investors in Data services, Investors in Fintech, Investors in IoT, Investors in Marketing automation, Investors in Marketplaces, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Social mobile
+5"
Sandeep Sardana,file:///investors/sandeep-sardana,Managing Director,$250K,Investors in SF Bay Area (CA)
Om Malik,file:///investors/om-malik,Venture Partner,$2.0M,Investors in San Francisco (CA)
Phil Black,file:///investors/phil-black,Partner,$2.0M,Investors in San Francisco (CA)
Brian Flynn,file:///investors/brian-flynn,Managing Partner,$250K,"Investors in China, Investors in Japan, Investors in Europe, Investors in New York (NY), Investors in SF Bay Area (CA)
+1"
Kirsten Green,file:///investors/kirsten-green,Partner,$600K,Investors in San Francisco (CA)
Satish Dharmaraj,file:///investors/satish-dharmaraj,Partner,$4.0M,Investors in Menlo Park (CA)
Toni Schneider,file:///investors/toni-schneider,Partner,$2.0M,Investors in San Francisco (CA)
Sean Dempsey,file:///investors/sean-dempsey,Managing Director,$500K,"Investors in New York (NY), Investors in Germany, Investors in California"
Angela Tran,file:///investors/angela-tran-kingyens,General Partner,$625K,Investors in SF Bay Area (CA)
Brittany Yoon,file:///investors/brittany-yoon,Principal,$1.5M,"Investors in Boston (MA), Investors in London, Investors in New York (NY), Investors in Chicago (IL), Investors in SF Bay Area (CA)
+1"
Ev Williams,file:///investors/ev-williams,Partner,$1.5M,Investors in San Francisco (CA)
Philipp Stauffer,file:///investors/philipp-stauffer,General Partner,$750K,"Investors in Portland (OR), Investors in Washington (DC), Investors in Los Angeles (CA), Investors in San Francisco (CA), Investors in Pittsburgh (PA), Investors in Boston (MA), Investors in New York (NY), Investors in Seattle (WA), Investors in Zurich, Investors in Palo Alto (CA)
+7"
Yuri Rabinovich,file:///investors/yuri-rabinovich,Managing Partner,$100K,Investors in San Francisco (CA)
Luis Mayendia,file:///investors/ed-fernandez,General Partner,$500K,Investors in Palo Alto (CA)
Eurie Kim,file:///investors/eurie-kim,Principal,$600K,Investors in San Francisco (CA)
Adam D. Smith,file:///investors/adam-d-smith,Venture Partner,$600K,Investors in San Francisco (CA)
Allison Pickens,file:///investors/allison-pickens,General Partner,$200K,"Investors in Analytics, Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Clean tech / environment, Investors in Education, Investors in Enterprise, Investors in Female Investors (Other Lists), Investors in Health IT, Investors in Marketing automation, Investors in Marketplaces, Investors in SaaS, Investors in Sales and CRM, Investors in San Francisco Bay Area (Other Lists), Investors in SMB software, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)
+14"
Andrew Solimine,file:///investors/andrew-solimine,Managing Partner,$500K,"Investors in Austin (TX), Investors in Los Angeles (CA), Investors in Seattle (WA), Investors in Boston (MA), Investors in New York (NY), Investors in SF Bay Area (CA), Investors in San Francisco (CA)
+4"
Lauren Kolodny,file:///investors/lauren-kolodny,Partner,$3.0M,Investors in San Francisco (CA)
LJ Erwin,file:///investors/lj-erwin,Angel,$25K,"Investors in SF Bay Area (CA), Investors in New York City, Investors in Los Angeles / Southern California, Investors in Austin (TX), Investors in Seattle / Portland, Investors in Toronto (Ontario), Investors in Boulder (CO)
+4"
Garrett Goldberg,file:///investors/garrett-goldberg,Partner,$400K,"Investors in Los Angeles (CA), Investors in Toronto (Ontario), Investors in Berkeley (CA), Investors in Austin (TX), Investors in Seattle (WA), Investors in New York (NY), Investors in Atlanta (GA), Investors in Boise City (ID), Investors in San Francisco (CA)
+6"
Vincent Diallo,file:///investors/vincent-diallo,Partner,$250K,"Investors in San Francisco (CA), Investors in New York (NY)"
Brad Holden,file:///investors/brad-holden,Venture Partner,$25K,"Investors in Global, Investors in San Francisco (CA)"
Bernard Moon,file:///investors/bernard-moon,Partner,$500K,"Investors in Sydney, Investors in Beijing, Investors in San Francisco (CA), Investors in Palo Alto (CA), Investors in London, Investors in Tel Aviv (Israel), Investors in New York (NY), Investors in Los Angeles (CA)
+4"
Phil Boyer,file:///investors/phil-boyer,Principal,$4.0M,Investors in San Francisco (CA)
Zaw Thet,file:///investors/zaw-thet,Venture Partner,$1.5M,Investors in San Francisco (CA)
Jeff Peters,file:///investors/jeff-peters,Partner,$2.5M,"Investors in AI, Investors in Cars / autonomous vehicles, Investors in Energy tech, Investors in IoT, Investors in Logistics, Investors in Manufacturing, Investors in Retail, Investors in Robotics, Investors in SaaS, Investors in Sales and CRM, Investors in San Francisco Bay Area (Other Lists)
+7"
Chian Gong,file:///investors/chian-gong,Principal,$1M,Investors in United States
Jeff Epstein,file:///investors/jeff-epstein,Partner,$50K,Investors in San Francisco (CA)
Kevin Swan,file:///investors/kevin-swan,Venture Partner,$1M,"Investors in Utah, Investors in New York (NY), Investors in Seattle (WA), Investors in SF Bay Area (CA)
+1"
Andrea Zurek,file:///investors/andrea-zurek,Venture Partner,$50K,Investors in SF Bay Area (CA)
Brett Gibson,file:///investors/brett-gibson_1,General Partner,$750K,Investors in SF Bay Area (CA)
Alda Dennis,file:///investors/alda-dennis,General Partner,$1M,Investors in SF Bay Area (CA)
Dan Raveh,file:///investors/dan-raveh,Principal,$350K,Investors in Israel
Leo Chang,file:///investors/leo-chang,Principal,$1M,"Investors in San Jose (CA), Investors in San Francisco (CA)"
Melissa Grillo Aruz,file:///investors/melissa-grillo-aruz,Principal,$600K,Investors in San Francisco (CA)
Todd Jackson,file:///investors/todd-jackson,Partner,$800K,"Investors in Boulder (CO), Investors in Austin (TX), Investors in New York (NY), Investors in Los Angeles (CA), Investors in SF Bay Area (CA)
+2"
Shayma Sharif,file:///investors/shayma-sharif_2,Principal,$1.5M,"Investors in Palo Alto (CA), Investors in Tel Aviv (Israel)"
Tyson Clark,file:///investors/tyson-clark,Partner,$4.0M,"Investors in Cloud infrastructure, Investors in Cloud infrastructure, Investors in Diverse Investors (Other Lists), Investors in SaaS, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists)
+4"
Hemant Mohapatra,file:///investors/hemant-mohapatra,Partner,$4.0M,"Investors in Bangalore, Investors in SF Bay Area (CA), Investors in Boston (MA), Investors in New York (NY)
+1"
Ben Rubin,file:///investors/ben-rubin,Investor,$50K,Investors in SF Bay Area (CA)
Vishal Lugani,file:///investors/vishal-lugani,Partner,$3.0M,"Investors in Los Angeles (CA), Investors in San Francisco (CA), Investors in New York (NY), Investors in Seattle (WA)
+1"
David Beisel,file:///investors/david-beisel,General Partner,$1M,"Investors in Boston (MA), Investors in New York (NY)"
David Ambrose,file:///investors/david-ambrose,Managing Director,$500K,"Investors in New York (NY), Investors in San Francisco (CA), Investors in Los Angeles (CA)"
Evan Nisselson,file:///investors/evan-nisselson,General Partner,$400K,"Investors in Europe, Investors in United States"
Eva Khoo,file:///investors/eva-khoo,Principal,$1M,Investors in San Francisco (CA)
Brian Hirsch,file:///investors/brian-hirsch,Managing Partner,$3.0M,Investors in New York (NY)
Lylan Masterman,file:///investors/lylan-masterman,General Partner,$4.0M,"Investors in Miami (FL), Investors in Boston (MA), Investors in Chicago (IL), Investors in New York (NY), Investors in Toronto (Ontario), Investors in Montreal
+2"
Sean Sheppard,file:///investors/sean-sheppard,Partner,$100K,"Investors in Enterprise, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists), Investors in Security, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)
+4"
Joshua B. Siegel,file:///investors/joshua-b-siegel,General Partner,$250K,"Investors in Canada, Investors in London, Investors in San Francisco (CA), Investors in New York (NY)"
Ed Sim,file:///investors/ed-sim,Managing Partner,$1.5M,"Investors in Paris (France), Investors in London, Investors in Tel Aviv (Israel), Investors in New York (NY), Investors in San Francisco (CA), Investors in SF Bay Area (CA), Investors in Toronto (Ontario)
+4"
Yuval Ariav,file:///investors/yuval-ariav,General Partner,$1.5M,"Investors in New York, Investors in Boston (MA), Investors in San Francisco (CA), Investors in SF Bay Area (CA), Investors in New York (NY), Investors in United States, Investors in Israel
+4"
Tarik Abbas,file:///investors/tarik-abbas,Managing Director,$1,"Investors in Florida, Investors in San Diego (CA), Investors in California, Investors in Austin (TX), Investors in Brooklyn, Investors in Newark (NJ), Investors in SF Bay Area (CA), Investors in San Francisco (CA), Investors in Boston (MA), Investors in Los Angeles (CA), Investors in New York (NY)
+7"
David S. Rose,file:///investors/david-s-rose,Managing Partner,$50K,Investors in United States
Joseph Sartre,file:///investors/joseph-sartre,Managing Partner,$350K,"Investors in New York (NY), Investors in New York, Investors in Paris (France), Investors in SF Bay Area (CA)
+1"
Jessica Mah,file:///investors/jessica-mah,Investor,$250K,Investors in San Francisco (CA)
Sebastien d'Ursel,file:///investors/sebastien-d-ursel,Angel,$25K,Investors in SF Bay Area (CA)
Nnamdi Okike,file:///investors/nnamdi-okike,General Partner,$1.5M,"Investors in SF Bay Area (CA), Investors in New York (NY)"
Andrew Mitchell,file:///investors/andrew-mitchell,General Partner,$750K,"Investors in Denver (CO), Investors in Seattle (WA), Investors in Austin (TX), Investors in Los Angeles (CA), Investors in San Francisco (CA), Investors in New York (NY)
+3"
Itamar Novick,file:///investors/itamar-novick,Investor,$50K,Investors in San Francisco (CA)
Nima Elyassi-Rad,file:///investors/nima-elyassi-rad,Investor,$250K,Investors in United States
Jacob Brody,file:///investors/jacob-brody,Managing Partner,$3.0M,Investors in New York (NY)
Tod Sacerdoti,file:///investors/tod-sacerdoti,Angel,$3.0M,Investors in San Francisco (CA)
Matt Mireles,file:///investors/matt-mireles,Angel,$130K,"Investors in Los Angeles / Southern California, Investors in New York (NY), Investors in SF Bay Area (CA)
+1"
Alex Swieca,file:///investors/alex-swieca,Managing Partner,$250K,"Investors in New York (NY), Investors in Tel Aviv (Israel), Investors in Israel, Investors in United States"
Binh Tran,file:///investors/binh-tran,Partner,$150K,"Investors in San Francisco (CA), Investors in Mountain View (CA)"
Ooshma Garg,file:///investors/ooshma-garg,Investor,$250K,Investors in San Francisco (CA)
Karin Klein,file:///investors/karin-klein,Partner,$750K,Investors in New York (NY)
Brian Hollins,file:///investors/brian-hollins,Investor,$50K,"Investors in Boston / New England (Other Lists), Investors in Cloud infrastructure, Investors in Distributed workforce, Investors in Diverse Investors (Other Lists), Investors in Education, Investors in Enterprise, Investors in Fintech, Investors in Marketplaces, Investors in Network infrastructure, Investors in Payments, Investors in SaaS, Investors in Travel, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)
+13"
Seth Teicher,file:///investors/seth-teicher,Senior Associate,$4.0M,"Investors in Consumer health & fitness, Investors in Consumer health & fitness, Investors in Developer tools, Investors in Developer tools, Investors in Enterprise, Investors in Enterprise, Investors in Health & hospital services, Investors in Health & hospital services, Investors in Marketplaces, Investors in Marketplaces, Investors in SaaS, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists)
+11"
Alec Barrett-Wilsdon,file:///investors/alec-barrett-wilsdon,Senior Associate,$50K,"Investors in New York (NY), Investors in San Francisco (CA)"
Eva Ho,file:///investors/eva-ho,General Partner,$1M,"Investors in Austin (TX), Investors in Seattle (WA), Investors in Chicago (IL), Investors in Boston (MA), Investors in New York (NY), Investors in Los Angeles (CA), Investors in San Francisco (CA)
+3"
Cory Klippsten,file:///investors/cory-klippsten,Managing Partner,$100K,"Investors in SF Bay Area (CA), Investors in San Francisco (CA), Investors in Los Angeles (CA), Investors in Santa Monica (CA), Investors in New York (NY), Investors in Boston (MA), Investors in Boston / New England, Investors in United States
+5"
Jon Staenberg,file:///investors/jon-staenberg,Managing Partner,$50K,"Investors in Palo Alto (CA), Investors in Los Angeles (CA), Investors in Portland (OR), Investors in Seattle (WA), Investors in San Francisco (CA)
+2"
Matt Fates,file:///investors/matt-fates,General Partner,$4.0M,"Investors in Philadelphia (PA), Investors in Washington (DC), Investors in Toronto (Ontario), Investors in New York (NY), Investors in Boston / New England
+2"
Geoff Bernstein,file:///investors/geoff-bernstein,General Partner,$750K,Investors in United States
Constance Freedman,file:///investors/constance-freedman,Managing Partner,$2.0M,"Investors in Advertising, Investors in Analytics, Investors in Developer tools, Investors in Diverse Investors (Other Lists), Investors in Female Investors (Other Lists), Investors in Fintech, Investors in Marketplaces, Investors in Midwest (Other Lists), Investors in Real estate/proptech, Investors in Retail, Investors in SaaS, Investors in Sales and CRM, Investors in SMB software
+10"
Mark Mullen,file:///investors/mark-mullen,Managing Director,$500K,Investors in Los Angeles (CA)
Alex Rubalcava,file:///investors/alex-rubalcava,General Partner,$350K,"Investors in San Francisco (CA), Investors in Washington (DC), Investors in Santa Barbara (CA), Investors in St. Louis (MO), Investors in Seattle (WA), Investors in Los Angeles (CA)
+3"
Michael Silton,file:///investors/michael-silton,Managing Director,$500K,"Investors in San Diego (CA), Investors in Santa Monica (CA), Investors in Pasadena (CA), Investors in Santa Barbara (CA), Investors in Los Angeles (CA)
+2"
Arjun Arora,file:///investors/arjun-arora,Advisor,$150K,Investors in SF Bay Area (CA)
MIke Majors,file:///investors/mike-majors,Managing Partner,$1.5M,"Investors in AI, Investors in Analytics, Investors in Boston / New England (Other Lists), Investors in Cloud infrastructure, Investors in Enterprise, Investors in IoT, Investors in Manufacturing, Investors in Network infrastructure, Investors in Robotics, Investors in SaaS, Investors in Security
+8"
Cat Hernandez,file:///investors/cat-hernandez,Partner,$1.5M,Investors in New York
Kevin Weatherman,file:///investors/kevin-weatherman,Angel,$10K,"Investors in San Francisco (CA), Investors in Los Angeles (CA), Investors in New York (NY)"
Kevin Ober,file:///investors/kevin-ober,General Partner,$500K,"Investors in AI, Investors in Analytics, Investors in Cloud infrastructure, Investors in Data services, Investors in Developer tools, Investors in Enterprise, Investors in Fintech, Investors in IoT, Investors in SaaS, Investors in Seattle / Portland (Other Lists), Investors in Security
+7"
Trace Cohen,file:///investors/trace-cohen,Investor,$50K,Investors in New York (NY)
Sacha Levy,file:///investors/sacha-levy,Angel,$100K,"Investors in AI, Investors in AR/VR, Investors in Biotech, Investors in Consumer health & fitness, Investors in Health & hospital services, Investors in Health IT, Investors in IoT, Investors in Medical devices, Investors in New York City (Other Lists), Investors in Robotics, Investors in SaaS
+7"
Frederik Groce,file:///investors/frederik-groce_1,Associate,$3.0M,"Investors in AI, Investors in AI, Investors in Distributed workforce, Investors in Distributed workforce, Investors in Enterprise, Investors in Enterprise, Investors in Govtech, Investors in Govtech, Investors in Health IT, Investors in Health IT, Investors in IoT, Investors in IoT, Investors in Marketing automation, Investors in Marketing automation, Investors in SaaS, Investors in SaaS, Investors in Sales and CRM, Investors in Sales and CRM, Investors in San Francisco Bay Area (Other Lists), Investors in Security, Investors in Security
+18"
Steve Anderson,file:///investors/steve-anderson,$400K,$400K,Investors in San Francisco (CA)
Ryan Floyd,file:///investors/ryan-floyd,Sweet spot:,$3.0M,Investors in Menlo Park (CA)
Yuri Sagalov,file:///investors/yuri-sagalov,Angel,$250K,"Investors in Toronto (Ontario), Investors in New York, Investors in SF Bay Area (CA)"
Todd Goldberg,file:///investors/todd-goldberg,Angel,$175K,Investors in SF Bay Area (CA)
John Fan,file:///investors/john-fan,Associate,$500K,Investors in San Francisco (CA)
Parul Singh,file:///investors/parul-singh,Principal,$750K,"Investors in Advertising, Investors in Analytics, Investors in Blockchain, Investors in Boston / New England (Other Lists), Investors in Consumer health & fitness, Investors in Consumer products, Investors in Cryptocurrency, Investors in Enterprise, Investors in SaaS, Investors in Sales and CRM
+7"
Morgan Polotan,file:///investors/morgan-polotan,Investor,$500K,Investors in New York (NY)
Vivek Ramaswami,file:///investors/vivek-ramaswami,Principal,$4.0M,"Investors in New York City, Investors in San Francisco (CA), Investors in Menlo Park (CA)"
Patrick Chase,file:///investors/patrick-chase_1,Principal,$4.0M,Investors in SF Bay Area (CA)
Nils Bunger,file:///investors/nils-bunger_1,Partner,$1.5M,Investors in SF Bay Area (CA)
Prayank Swaroop,file:///investors/prayank-swaroop,Partner,$1M,"Investors in Cloud infrastructure, Investors in Data services, Investors in Developer tools, Investors in E-commerce, Investors in Enterprise, Investors in Marketplaces, Investors in SaaS, Investors in Sales and CRM, Investors in Security, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)
+8"
Jennifer Wolf,file:///investors/jennifer-wolf,Partner,$750K,"Investors in New York (NY), Investors in SF Bay Area (CA)"
Jean-Eudes QUEFFELEC,file:///investors/jean-eudes-queffelec,Sweet spot:,$300K,"Investors in Enterprise, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists)"
Kara Nortman,file:///investors/kate-nortman,Managing Partner,$4.0M,"Investors in Austin (TX), Investors in Washington (DC), Investors in Los Angeles (CA), Investors in Palo Alto (CA), Investors in San Francisco (CA), Investors in Santa Monica (CA)
+3"
David Cohen,file:///investors/david-cohen,Managing Partner,$120K,Investors in New York (NY)
David Wieland,file:///investors/david-wieland-cardigan,Managing Partner,$500K,"Investors in Toronto (Ontario), Investors in Austin (TX), Investors in Chicago (IL), Investors in Midwest"
Hustle Fund Deals,file:///investors/hustle-fund-deals,General Partner,$25K,"Investors in Canada, Investors in United States"
Anna Barber,file:///investors/anna-barber,Managing Partner,$50K,"Investors in AI, Investors in Clean tech / environment, Investors in Consumer health & fitness, Investors in E-commerce, Investors in Entertainment & sports, Investors in Female Investors (Other Lists), Investors in Gaming/eSports, Investors in Human capital, Investors in Los Angeles / Southern California (Other Lists), Investors in Retail, Investors in SaaS, Investors in Social mobile, Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)
+13"
Rob Ness,file:///investors/rob-ness,Managing Partner,$250K,"Investors in AI, Investors in Biotech, Investors in Enterprise, Investors in Health & hospital services, Investors in IoT, Investors in Material science, Investors in Medical devices, Investors in Pharmaceuticals, Investors in Real estate/proptech, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists)
+7"
